StudentID,Department,CGPA,ChatGPT_Usage_Frequency_Per_Week,Average_Session_Duration_Minutes,Reason_For_Using_ChatGPT,Aptitude_Score
110,Comp,6.22,5,39,no idea,0
111,EXTC,7.54,12,73,better answers,5
112,Comp,8.14,19,42,no idea,0
113,IT,8.1,14,43,saves time,5
114,EXTC,7.73,2,28,saves time,4
115,IT,7.25,7,12,no idea,3
116,Comp,5.29,19,11,no idea,0
117,IT,5.57,15,94,better answers,0
118,EXTC,8.14,12,45,saves time,4
119,EXTC,7.12,17,1,saves time,2
120,Comp,5.03,9,114,no idea,0
121,IT,5.36,18,113,better answers,0
122,IT,6.61,5,54,better answers,4
123,IT,8.18,7,27,better answers,6
124,Comp,6.6,6,31,saves time,3
125,Comp,6.54,9,49,saves time,3
126,IT,7.89,9,6,saves time,6
127,Comp,8.49,7,28,better answers,7
128,IT,8.29,1,7,saves time,7
129,Comp,7.65,8,0,saves time,6
130,IT,8.33,0,56,better answers,8
131,IT,6.51,7,54,saves time,3
132,IT,8.45,3,2,saves time,8
133,Comp,7.48,3,23,better answers,6
134,Comp,7.95,4,22,better answers,7
135,Comp,8.14,7,58,better answers,6
136,IT,7.94,4,7,saves time,6
137,Comp,7.57,7,53,saves time,5
138,Comp,7.45,9,56,saves time,4
139,IT,8.18,0,46,better answers,6
140,EXTC,6.91,9,36,better answers,4
141,IT,8.44,8,2,saves time,7
142,Comp,7.92,5,50,saves time,5
143,IT,6.9,2,32,better answers,4
144,EXTC,7.97,7,27,better answers,6
145,IT,7.56,8,46,better answers,6
146,Comp,7.91,5,7,better answers,6
147,EXTC,8.04,6,33,saves time,7
148,Comp,6.67,0,34,better answers,3
149,EXTC,7.51,4,31,saves time,6
150,EXTC,8.36,4,23,saves time,7
151,IT,7.14,9,13,saves time,4
152,IT,7.69,3,31,better answers,5
153,Comp,7.24,5,55,better answers,5
154,IT,7.41,6,45,better answers,5
155,IT,7.6,8,42,better answers,4
156,EXTC,7.6,0,15,saves time,6
157,IT,6.9,5,3,better answers,5
158,EXTC,7.87,6,51,better answers,5
159,EXTC,6.68,2,36,saves time,4
160,EXTC,6.78,7,53,better answers,4
161,Comp,6.51,4,20,saves time,4
162,Comp,6.73,8,13,saves time,4
163,Comp,7.45,4,30,saves time,4
164,EXTC,7.71,8,54,saves time,5
165,Comp,8.09,9,47,saves time,6
166,Comp,6.71,3,17,saves time,4
167,IT,8.2,8,6,saves time,6
168,Comp,7.99,4,9,saves time,6
169,Comp,7.32,9,6,better answers,5
170,EXTC,8.37,8,32,better answers,7
171,EXTC,8.48,2,22,better answers,8
172,EXTC,6.91,3,20,better answers,4
173,EXTC,7.26,8,18,saves time,3
174,EXTC,8.35,9,47,better answers,7
175,EXTC,7.94,5,18,saves time,5
176,Comp,6.6,1,35,better answers,4
177,EXTC,8.06,6,28,better answers,7
178,EXTC,8.16,1,59,better answers,6
179,IT,8.0,1,17,saves time,5
180,Comp,8.1,0,1,better answers,7
181,Comp,8.15,2,0,saves time,7
182,Comp,6.87,5,46,saves time,4
183,EXTC,6.97,7,4,better answers,3
184,EXTC,7.77,8,19,better answers,6
185,EXTC,8.32,6,10,better answers,7
186,IT,7.13,3,41,saves time,4
187,EXTC,7.68,5,1,better answers,6
188,IT,7.87,4,2,saves time,6
189,Comp,7.4,7,22,saves time,5
190,EXTC,7.93,0,54,better answers,7
191,IT,8.3,0,11,better answers,8
192,IT,7.75,5,19,saves time,6
193,EXTC,7.58,9,4,saves time,5
194,Comp,7.38,1,36,saves time,5
195,Comp,7.65,4,37,better answers,6
196,Comp,7.21,0,29,saves time,5
197,IT,7.28,6,8,better answers,5
198,IT,7.56,0,33,saves time,5
199,IT,6.63,3,52,saves time,3
200,IT,6.96,8,43,better answers,4
201,Comp,7.59,0,34,saves time,6
202,EXTC,7.36,3,51,better answers,6
203,IT,7.17,5,57,better answers,5
204,IT,7.96,5,21,saves time,5
205,Comp,7.89,7,43,better answers,6
206,EXTC,6.83,0,23,better answers,6
207,EXTC,8.26,6,16,saves time,6
208,Comp,7.49,0,9,better answers,5
209,Comp,7.98,6,29,better answers,6
210,EXTC,7.65,2,55,better answers,6
211,IT,8.5,7,58,saves time,7
212,EXTC,8.0,2,45,better answers,7
213,Comp,7.91,0,22,saves time,7
214,IT,8.06,7,31,saves time,6
215,IT,6.79,2,16,better answers,4
216,Comp,6.91,1,49,better answers,5
217,Comp,7.93,0,50,better answers,6
218,Comp,7.49,2,16,saves time,5
219,EXTC,8.01,1,13,better answers,7
220,EXTC,6.71,1,8,better answers,4
221,IT,7.57,5,39,better answers,6
222,Comp,7.26,0,1,better answers,5
223,IT,7.41,1,44,better answers,5
224,IT,7.71,5,24,saves time,6
225,IT,7.5,2,38,saves time,5
226,IT,7.58,3,8,better answers,6
227,Comp,7.47,0,53,better answers,6
228,IT,7.32,7,21,better answers,5
229,Comp,8.04,6,42,better answers,6
230,Comp,6.52,6,45,saves time,3
231,EXTC,7.7,2,3,better answers,6
232,Comp,7.63,9,25,saves time,5
233,EXTC,7.93,9,57,saves time,6
234,Comp,7.7,2,28,better answers,7
235,Comp,8.15,1,44,saves time,7
236,Comp,8.42,0,33,saves time,8
237,EXTC,7.19,6,22,saves time,5
